
||Pattern ID||Pattern Name||Rule ID||Role||See||Diagnostics||Rule Text ||
|| pd10108 || check-logic-arc || check-logic-arc-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class || Arc with class logic arc must have target reference to port on glyph with PN classes or a logical operator and source reference to glyph of EPN classes ||
|| pd10109 || check-equivalence-arc || check-equivalence-arc-source-class || error || sbgn-pd-L1V1.3-3.4.1 || source class || Arc with class equivalence arc must have source reference to glyph of EPN classes and target reference to port on glyph of PN classes ||
|| pd10109 || check-equivalence-arc || check-equivalence-arc-target-class || error || sbgn-pd-L1V1.3-3.4.1 || target port-class class || Arc with class logic arc must have target reference to port on glyph with PN classes or 'tag' or 'submap' EPN classes and source reference to glyph of EPN classes ||
|| pd10131 || state-var-unique || state-var-unique || error || sbgn-pd-L1V1.3-3.5.1-1 || id || All state variables associated with a Stateful Entity Pool Node should be unique and note duplicated within that node. ||
|| pd101XX || subunit-mod-arc || subunit-mod-arc-source || error ||  || id class || [NOT SURE] ||
|| pd10133 || epns-must-connect || epns-must-connect || error || sbgn-pd-L1V1.3-3.5.1-3 || id class || EPNs should not be orphaned (i.e. they must be associated with at least one arc.) ||
|| pd10135 || pns-lhs-rhs-existence || pns-port-count-eq-2 || error || sbgn-pd-L1V1.3-3.5.2.1-1 || id || All process nodes (with the exception of phenotype) must have a LHS and RHS. ||
|| pd10136 || different-pn-substrates || pns-arc-count-eq-2 || error || sbgn-pd-L1V1.3-3.5.2.1-2,3 || id || All EPNs on the LHS of a process must be unique. ||
|| pd10201 || containment-definition-complex || check-complex-containment-definition || error || sbgn-pd-L1V1.3-3.4.2-complex || component-class component-id id || Complex containment of  is not allowed. ||
|| pd10202 || containment-definition-compartment || check-compartment-containment-definition || containment || sbgn-pd-L1V1.3-3.4.2-compartment || id || Compartment containment of  is not allowed. ||
|| pd99999 || unimplemented-untestable-rules || multiple-stoichiometries || untestable || sbgn-pd-L1V1.3-3.5.2!#1-8 ||  || If more than one set of stoichiometries can be applied to the flux arcs of the process then the stoichiometry of the flux arcs must be displayed. ||
|| pd99999 || unimplemented-untestable-rules || association-irreversibility || untestable || sbgn-pd-L1V1.3-3.5.2.2!#1 ||  || An Association is always an irreversible process. ||
|| pd99999 || unimplemented-untestable-rules || dissociation-irreversibility || untestable || sbgn-pd-L1V1.3-3.5.2.2!#1 ||  || An Dissociation is always an irreversible process. ||
|| pd99999 || unimplemented-untestable-rules || undefined-unknown-stochiometry || unimplemented || sbgn-pd-L1V1.3-3.5.2.1-7 ||  || If the stoichiometry is undefined or unknown this should be indicated by the use of a question mark ("?"). ||
